,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Port Alfred,-33.5906,26.891,19.74,84,81,8.09,ZA,1616813651
1,Bethel,41.3712,-73.414,15.0,47,1,7.72,US,1616813605
2,Rikitea,-23.1203,-134.9692,26.09,74,7,8.55,PF,1616813423
3,Daud Khel,32.875,71.5701,24.2,36,53,2.24,PK,1616813750
4,Gambēla,8.25,34.5833,25.27,54,84,1.53,ET,1616813750
5,Deputatsky,69.3,139.9,-15.51,72,100,0.73,RU,1616813750
6,Reconquista,-29.15,-59.65,19.76,93,100,5.28,AR,1616813751
7,Bluff,-46.6,168.3333,17.22,75,100,2.24,NZ,1616813398
8,Coquimbo,-29.9533,-71.3436,14.0,94,0,2.57,CL,1616813751
9,Klaksvík,62.2266,-6.589,2.0,41,20,11.32,FO,1616813751
10,Faya,18.3851,42.4509,16.0,63,0,0.87,SA,1616813752
11,Kulevcha,46.0303,29.9361,3.34,63,8,3.5,UA,1616813752
12,Mackay,-21.15,149.2,30.56,58,0,4.63,AU,1616813752
13,High Rock,26.6208,-78.2833,24.37,79,83,5.13,BS,1616813753
14,East London,-33.0153,27.9116,20.81,75,86,8.27,ZA,1616813753
15,Camapuã,-19.5314,-54.0439,22.38,58,2,0.75,BR,1616813753
16,Abu Samrah,35.3029,37.1841,4.0,71,18,3.72,SY,1616813287
17,New Norfolk,-42.7826,147.0587,17.78,41,46,3.13,AU,1616813272
18,Jamestown,42.097,-79.2353,5.56,87,90,2.35,US,1616813403
19,Coruripe,-10.1256,-36.1756,25.07,84,100,3.93,BR,1616813476
20,Mazamitla,19.9167,-103.0333,11.99,36,100,1.19,MX,1616813754
21,Nikolskoye,59.7035,30.7861,0.56,93,43,3.0,RU,1616813402
22,Barrow,71.2906,-156.7887,-24.0,77,1,2.14,US,1616813169
23,Itarema,-2.9248,-39.9167,24.24,90,100,1.55,BR,1616813754
24,Dickinson,29.4608,-95.0513,21.67,94,90,5.14,US,1616813754
25,Athabasca,54.7169,-113.2854,0.0,59,84,1.76,CA,1616813755
26,Khatanga,71.9667,102.5,-15.71,87,97,1.64,RU,1616813273
27,Ponta do Sol,32.6667,-17.1,18.0,88,40,3.6,PT,1616813755
28,Puerto Ayora,-0.7393,-90.3518,25.0,90,22,0.89,EC,1616813404
29,Awjilah,29.1081,21.2869,9.38,51,0,3.78,LY,1616813755
30,Hulan Ergi,47.2042,123.6333,10.73,34,29,3.36,CN,1616813756
31,Carnarvon,-24.8667,113.6333,28.0,51,86,5.14,AU,1616813756
32,Ushuaia,-54.8,-68.3,8.0,66,75,1.54,AR,1616813488
33,Chapais,49.7834,-74.8492,-4.0,63,75,5.14,CA,1616813756
34,Jakar,27.5492,90.7525,15.61,23,0,1.43,BT,1616813757
35,Constitución,-35.3333,-72.4167,14.79,64,0,3.96,CL,1616813757
36,Atuona,-9.8,-139.0333,27.18,75,47,8.82,PF,1616813757
37,Mataura,-46.1927,168.8643,17.22,75,100,2.24,NZ,1616813274
38,Longyearbyen,78.2186,15.6401,-8.0,73,20,13.89,SJ,1616813697
39,Hermanus,-34.4187,19.2345,16.11,93,100,4.51,ZA,1616813422
40,Lebu,-37.6167,-73.65,12.33,81,74,7.81,CL,1616813758
41,Stromness,58.965,-3.296,2.0,87,99,1.54,GB,1616813645
42,Kapaa,22.0752,-159.319,26.0,78,40,3.6,US,1616813274
43,Albany,42.6001,-73.9662,8.89,84,100,2.24,US,1616813186
44,Belmonte,-15.8631,-38.8828,22.0,88,20,1.54,BR,1616813758
45,Arraial do Cabo,-22.9661,-42.0278,26.0,78,0,4.12,BR,1616813758
46,Chokurdakh,70.6333,147.9167,-22.53,92,78,2.98,RU,1616813400
47,Fianarantsoa,-21.4333,47.0833,15.25,95,0,0.69,MG,1616813643
48,Buin,-33.7333,-70.75,20.0,34,0,4.12,CL,1616813759
49,Villa Bruzual,9.3328,-69.1208,24.38,69,63,4.15,VE,1616813759
50,Samarinda,-0.5,117.15,23.55,98,100,1.18,ID,1616813760
51,Souillac,-20.5167,57.5167,23.0,94,20,3.09,MU,1616813760
52,Cape Town,-33.9258,18.4232,18.33,94,75,1.03,ZA,1616813756
53,Sur,22.5667,59.5289,27.17,49,99,0.77,OM,1616813593
54,Cherskiy,68.75,161.3,-17.9,83,97,5.14,RU,1616813760
55,Ancud,-41.8697,-73.8203,10.56,93,20,1.03,CL,1616813760
56,Hofn,64.2539,-15.2082,-10.01,68,5,7.06,IS,1616813761
57,Hobart,-42.8794,147.3294,18.33,55,40,3.6,AU,1616813270
58,Tulum,20.2167,-87.4667,26.67,78,20,4.12,MX,1616813762
59,Pisco,-13.7,-76.2167,20.0,77,0,4.63,PE,1616813762
60,Vaini,-21.2,-175.2,28.0,83,75,4.63,TO,1616813274
61,Oxelösund,58.6706,17.1015,4.0,93,0,2.57,SE,1616813763
62,Punta Arenas,-53.15,-70.9167,9.0,76,75,4.63,CL,1616813399
63,Golden,39.7555,-105.2211,3.89,87,75,1.54,US,1616813763
64,Bilibino,68.0546,166.4372,-20.18,85,74,0.76,RU,1616813763
65,Dutlwe,-23.9833,23.9,19.26,33,15,3.03,BW,1616813764
66,Bambous Virieux,-20.3428,57.7575,25.56,94,20,3.09,MU,1616813764
67,Tiksi,71.6872,128.8694,-9.68,88,100,3.08,RU,1616813764
68,Camargo,27.6667,-105.1667,19.99,8,73,9.33,MX,1616813765
69,Mahébourg,-20.4081,57.7,23.0,94,20,3.09,MU,1616813707
70,Busselton,-33.65,115.3333,22.78,53,32,0.89,AU,1616813284
71,Lavrentiya,65.5833,-171.0,-15.31,79,100,2.9,RU,1616813765
72,Lorengau,-2.0226,147.2712,28.45,76,99,2.73,PG,1616813652
73,Oriximiná,-1.7656,-55.8661,22.73,96,71,1.31,BR,1616813666
74,Broken Hill,-31.95,141.4333,23.0,49,22,3.6,AU,1616813765
75,Bredasdorp,-34.5322,20.0403,16.0,94,100,4.12,ZA,1616813273
76,Griffith,41.5284,-87.4237,6.67,87,90,2.06,US,1616813766
77,Qaanaaq,77.484,-69.3632,-23.14,69,100,2.1,GL,1616813766
78,Upernavik,72.7868,-56.1549,-36.36,78,2,1.47,GL,1616813767
79,Hilo,19.7297,-155.09,26.0,61,75,5.14,US,1616813767
80,Port-Gentil,-0.7193,8.7815,27.03,76,100,3.77,GA,1616813767
81,Castro,-24.7911,-50.0119,18.31,89,70,0.74,BR,1616813767
82,Karema,-6.8205,30.4389,20.22,94,100,0.99,TZ,1616813768
83,Yar-Sale,66.8333,70.8333,-15.43,91,85,6.52,RU,1616813768
84,Lima,-12.0432,-77.0282,22.22,78,0,4.63,PE,1616813591
85,Saint-Philippe,-21.3585,55.7679,25.0,69,58,3.6,RE,1616813651
86,Kupang,-10.1667,123.5833,32.0,70,40,3.6,ID,1616813647
87,Kamenka,51.3223,42.7678,0.0,88,100,3.59,RU,1616813769
88,Ilulissat,69.2167,-51.1,-27.0,43,18,1.03,GL,1616813769
89,Tateyama,34.9833,139.8667,16.11,48,40,2.57,JP,1616813769
90,Naze,28.3667,129.4833,22.0,64,75,8.75,JP,1616813770
91,San Patricio,28.017,-97.5169,22.22,88,90,4.63,US,1616813770
92,Bria,6.5423,21.9863,19.44,92,60,1.45,CF,1616813592
93,Clyde River,70.4692,-68.5914,-24.0,58,1,1.54,CA,1616813770
94,Saint Anthony,45.0205,-93.218,7.0,57,90,2.57,US,1616813771
95,Nagato,34.3833,131.2,20.0,55,75,6.69,JP,1616813771
96,Yellowknife,62.456,-114.3525,-13.89,78,40,4.12,CA,1616813771
97,Tuktoyaktuk,69.4541,-133.0374,-23.0,77,40,2.06,CA,1616813771
98,Tasiilaq,65.6145,-37.6368,-14.0,56,90,4.12,GL,1616813772
99,Butaritari,3.0707,172.7902,26.93,80,69,5.12,KI,1616813772
100,Firminópolis,-16.5819,-50.305,18.92,78,80,1.11,BR,1616813772
101,Niltepec,16.5667,-94.6167,24.53,78,0,1.03,MX,1616813772
102,Tiarei,-17.5333,-149.3333,31.0,55,40,2.57,PF,1616813773
103,Cabo San Lucas,22.8909,-109.9124,18.89,63,20,4.12,MX,1616813773
104,Anori,-3.7728,-61.6442,23.54,95,98,1.15,BR,1616813773
105,Flin Flon,54.7682,-101.865,-12.47,95,73,1.56,CA,1616813774
106,Esperance,-33.8667,121.9,23.0,46,1,4.63,AU,1616813774
107,Saint-Pierre,-21.3393,55.4781,25.0,69,67,3.6,RE,1616813774
108,Nome,64.5011,-165.4064,-10.0,73,90,4.63,US,1616813775
109,Cap Malheureux,-19.9842,57.6142,25.56,85,18,0.91,MU,1616813775
110,Ribeira Grande,38.5167,-28.7,14.18,65,91,3.4,PT,1616813775
111,Abbeville,50.1,1.8333,6.67,83,70,9.67,FR,1616813775
112,Gravdal,68.1214,13.5031,3.45,79,99,6.27,NO,1616813776
113,Kanel,15.4916,-13.1763,29.29,9,22,4.99,SN,1616813776
114,Saint George,37.1041,-113.5841,13.0,26,1,8.23,US,1616813579
115,Takoradze,4.8845,-1.7554,26.0,86,5,3.2,GH,1616813776
116,Harlingen,26.1906,-97.6961,23.33,100,40,5.14,US,1616813777
117,Tura,25.5198,90.2201,30.61,9,0,1.66,IN,1616813777
118,Sangar,63.9242,127.4739,-8.82,86,100,5.31,RU,1616813777
119,Hollins,37.3413,-79.9431,18.0,36,1,1.54,US,1616813697
120,Sørland,67.667,12.6934,4.93,81,99,6.67,NO,1616813778
121,Vao,-22.6667,167.4833,25.91,73,36,5.6,NC,1616813778
122,Kaitangata,-46.2817,169.8464,15.52,73,100,1.34,NZ,1616813778
123,Hithadhoo,-0.6,73.0833,28.29,72,9,4.03,MV,1616813779
124,Tías,28.9611,-13.645,17.0,88,0,2.57,ES,1616813779
125,Pevek,69.7008,170.3133,-26.8,92,54,1.88,RU,1616813779
126,Prince Rupert,54.3161,-130.3201,7.0,93,90,4.12,CA,1616813540
127,Mar del Plata,-38.0023,-57.5575,17.78,82,90,9.26,AR,1616813780
128,Taltal,-25.4,-70.4833,18.74,74,0,1.92,CL,1616813427
129,Kamaishi,39.2667,141.8833,10.0,50,75,2.06,JP,1616813780
130,Ambon City,-3.6954,128.1814,31.0,66,40,3.09,ID,1616813780
131,Port Hardy,50.6996,-127.4199,8.0,76,90,1.54,CA,1616813781
132,Norman Wells,65.282,-126.8329,-7.0,86,75,8.75,CA,1616813781
133,Oshawa,43.9001,-78.8496,2.78,93,90,5.66,CA,1616813512
134,Yatou,37.15,122.3833,8.41,96,100,2.56,CN,1616813781
135,Mariāni,26.6667,94.3333,29.67,11,0,0.95,IN,1616813782
136,Nizhniy Odes,63.6445,54.856,-7.66,96,92,2.7,RU,1616813782
137,Fortuna,40.5982,-124.1573,9.44,93,1,4.63,US,1616813782
138,Geraldton,-28.7667,114.6,25.0,41,0,7.2,AU,1616813782
139,Maceió,-9.6658,-35.7353,23.0,100,75,2.57,BR,1616813783
140,Te Anau,-45.4167,167.7167,18.01,57,100,2.91,NZ,1616813783
